25	"Tkachuk, Brady"	GRE	LW	79	21	23	44	-31	106	4	0	1	2	262	8.0	1404	17.8	34	52	86	39.5	431	161	592	72.8	151	95	246	61.4	1	0	6	7	14.3	203	2.57	0	0.000	2	3	25	3	3	7	0	0	0	0	2019-20	Regular	Rookie
26	"Backes, David"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
27	"Backlund, Mikael"	MIL	C	81	22	15	37	4	50	4	0	5	0	175	12.6	1036	12.8	351	364	715	49.1	334	111	445	75.1	86	66	152	56.6	0	0	0	0	0.0	82	1.01	1	0.012	2	4	24	1	0	0	0	0	0	0	2019-20	Regular	Veteran
28	"Backstrom, Nicklas"	MSG	C	82	19	46	65	-8	40	9	1	2	0	168	11.3	1597	19.5	763	876	1639	46.6	660	137	797	82.8	93	95	188	49.5	0	0	0	0	0.0	105	1.28	0	0.000	6	6	17	3	0	0	0	0	0	0	2019-20	Regular	Veteran
29	"Baertschi, Sven"		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
30	"Balcers, Rudolfs"	GRE	LW	10	1	0	1	-9	2	0	0	0	0	10	10.0	142	14.2	0	0	0	0.0	42	15	57	73.7	7	16	23	30.4	0	0	0	0	0.0	6	0.60	0	0.000	0	1	1	0	0	0	0	0	0	0	2019-20	Regular	Rookie
31	"Barbashev, Ivan"	OAK	C	32	0	2	2	4	12	0	0	0	0	8	0.0	140	4.4	5	7	12	41.7	35	7	42	83.3	15	8	23	65.2	0	1	1	2	0.0	20	0.63	0	0.000	1	1	1	0	0	2	0	0	0	0	2019-20	Regular	Veteran
32	"Barkov, Aleksander"	IND	C	82	31	73	104	36	14	9	1	4	1	199	15.6	1728	21.1	1017	736	1753	58.0	791	177	968	81.7	159	80	239	66.5	0	0	0	0	0.0	153	1.87	0	0.000	7	10	5	2	0	0	0	0	0	0	2019-20	Regular	Veteran
33	"Barzal, Mathew"	PEO	C	82	18	33	51	6	58	3	0	0	0	193	9.3	1232	15.0	58	109	167	34.7	513	85	598	85.8	80	86	166	48.2	0	0	0	0	0.0	66	0.80	1	0.012	2	6	24	5	0	0	0	0	0	0	2019-20	Regular	Veteran
34	"Batherson, Drake"	KEL	RW	1	1	0	1	-1	0	0	0	0	0	2	50.0	14	14.0	0	0	0	0.0	9	0	9	100.0	1	1	2	50.0	0	0	0	0	0.0	2	2.00	1	1.000	1	1	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
35	"Beagle, Jay"	KEL	C	75	7	10	17	-6	18	0	0	0	1	49	14.3	705	9.4	364	312	676	53.8	216	76	292	74.0	50	31	81	61.7	0	0	0	0	0.0	85	1.13	1	0.013	1	2	5	4	0	0	0	0	0	0	2019-20	Regular	Veteran
36	"Beauvillier, Anthony"	LSB	LW	26	6	1	7	-7	4	1	0	0	0	36	16.7	257	9.9	0	0	0	0.0	39	25	64	60.9	15	22	37	40.5	0	0	0	0	0.0	14	0.54	0	0.000	0	2	1	1	0	0	0	0	0	0	2019-20	Regular	Veteran
37	"Bellemare, Pierre-Edouard"	SCS	C	82	3	7	10	-13	2	0	0	1	0	76	3.9	852	10.4	453	374	827	54.8	150	99	249	60.2	60	57	117	51.3	0	0	0	0	0.0	88	1.07	0	0.000	0	2	1	0	0	0	0	0	0	0	2019-20	Regular	Veteran
38	"Bennett, Sam"	CHY	LW	18	1	3	4	0	35	0	0	0	0	25	4.0	200	11.1	44	48	92	47.8	66	9	75	88.0	17	10	27	63.0	0	0	2	2	0.0	31	1.72	0	0.000	1	1	5	0	3	2	0	0	0	0	2019-20	Regular	Veteran
39	"Bergeron, Patrice"	IND	C	82	57	70	127	75	54	6	7	3	2	367	15.5	1780	21.7	1193	660	1853	64.4	776	177	953	81.4	112	74	186	60.2	0	0	0	0	0.0	152	1.85	2	0.024	14	14	25	2	0	0	0	0	0	0	2019-20	Regular	Veteran
40	"Berglund, Patrik"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
41	"Bertuzzi, Tyler"	CHY	LW	65	15	17	32	6	28	3	1	0	0	99	15.2	822	12.6	2	1	3	66.7	272	71	343	79.3	66	42	108	61.1	0	0	3	3	0.0	94	1.45	0	0.000	1	3	4	0	1	3	0	0	0	0	2019-20	Regular	Veteran
42	"Bjork, Anders"	MIL	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
43	"Bjorkstrand, Oliver"	OAK	RW	62	8	3	11	4	4	1	0	0	0	48	16.7	279	4.5	2	1	3	66.7	72	28	100	72.0	15	22	37	40.5	0	0	0	0	0.0	22	0.35	1	0.016	0	2	1	1	0	0	0	0	0	0	2019-20	Regular	Veteran
44	"Bjugstad, Nick"	VIC	C	64	8	5	13	-18	26	0	0	0	0	98	8.2	735	11.5	196	210	406	48.3	159	66	225	70.7	56	50	106	52.8	0	0	0	0	0.0	119	1.86	0	0.000	0	2	13	0	0	0	0	0	0	0	2019-20	Regular	Veteran
45	"Blais, Samuel"	WIT	RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
46	"Blandisi, Joseph"		LW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
47	"Blueger, Teddy"	ATL	LW	15	0	1	1	-6	10	0	0	0	0	10	0.0	146	9.7	7	20	27	25.9	28	5	33	84.8	5	13	18	27.8	0	0	1	1	0.0	9	0.60	0	0.000	0	1	0	0	1	1	0	0	0	0	2019-20	Regular	Rookie
48	"Boedker, Mikkel"	OKL	LW	77	6	11	17	-21	6	0	0	1	0	100	6.0	905	11.8	1	2	3	33.3	337	96	433	77.8	55	64	119	46.2	0	0	0	0	0.0	66	0.86	0	0.000	0	3	3	0	0	0	0	0	0	0	2019-20	Regular	Veteran
49	"Boeser, Brock"	OKL	RW	76	29	39	68	-1	46	8	0	5	0	291	10.0	1354	17.8	38	60	98	38.8	527	126	653	80.7	93	78	171	54.4	0	0	0	0	0.0	125	1.64	4	0.053	4	5	23	0	0	0	0	0	0	0	2019-20	Regular	Veteran
50	"Bonino, Nick"	GRE	C	78	21	16	37	-24	18	6	3	3	0	124	16.9	1488	19.1	686	743	1429	48.0	338	156	494	68.4	97	103	200	48.5	0	0	0	0	0.0	88	1.13	2	0.026	0	7	9	0	0	0	0	0	0	0	2019-20	Regular	Veteran
51	"Borgstrom, Henrik"		C	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
52	"Bourque, Gabriel"		RW	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.00	0	0.000	0	0	0	0	0	0	0	0	0	0	2019-20	Regular	Veteran
53	"Boyd, Travis"	CIN	RW	3	0	1	1	0	0	0	0	0	0	0	0.0	18	6.0	0	0	0	0.0	5	4	9	55.6	1	1	2	50.0	0	0	0	0	0.0	3	1.00	0	0.000	1	1	0	0	0	0	0	0	0	0	2019-20	Regular	Rookie
54	"Boyle, Brian"	MEM	LW	21	4	3	7	-6	33	0	0	0	1	32	12.5	283	13.5	57	81	138	41.3	41	29	70	58.6	18	19	37	48.6	0	0	2	2	0.0	44	2.10	0	0.000	0	2	3	1	3	2	0	0	0	0	2019-20	Regular	Veteran
55	"Bozak, Tyler"	GRE	C	77	9	14	23	-21	8	1	0	1	1	113	8.0	972	12.6	481	426	907	53.0	321	115	436	73.6	62	71	133	46.6	0	0	0	0	0.0	65	0.84	0	0.000	1	3	4	0	0	0	0	0	0	0	2019-20	Regular	Veteran
