van Riemsdyk, Trevor	2.300	2.300	UFA		
Vatanen, Sami	4.875	4.875	UFA		
Vlasic, Marc-Edouard	7.000	7.000	7.000	7.000	7.000
Walker, Sean	0.745	0.745	RFA		
Warsofsky, David	0.675	0.700	0.700	UFA	
Weber, Shea	7.857	7.857	7.857	7.857	7.857
Weber, Yannick	0.675	0.675	UFA		
Weegar, MacKenzie	0.900	1.600	RFA		
Welinski, Andy	0.690	0.750	UFA		
Werenski, Zach	1.775	5.000	5.000	5.000	RFA
Whitecloud, Zach	1.492	1.492	RFA		
Wideman, Chris	1.000	0.700	UFA		
Witkowski, Luke	0.750	0.700	0.700	UFA	
Wolanin, Christian	0.925	0.900	0.900	RFA	
Wotherspoon, Tyler	0.700	0.700	0.700	UFA	
Yakovlev, Egor	0.925	UFA			
Yandle, Keith	6.350	6.350	6.350	6.350	6.350
Zadorov, Nikita	2.150	3.200	RFA		
Zaitsev, Nikita	4.500	4.500	4.500	4.500	4.500
