Ericsson, Jonathan	8470318	582	
Hicketts, Joe	8478176	622	
Filppula, Valterri	8470047	161	
Nielsen, Frans	8470144	354	
Howard, Jimmy	8470657		32
Green, Mike	8471242	600	
Helm, Darren	8471794	210	
Biega, Alex	8473415	520	
Bernier, Jonathan	8473541		4
Nemeth, Patrik	8475747	696	
McIlrath, Dylan	8475795	899	
Athanasiou, Andreas	8476960	17	
Erne, Adam	8477454	153	
Bowey, Madison	8477474	526	
Bertuzzi, Tyler	8477479	41	
Mantha, Anthony	8477511	325	
Perlini, Brendan	8477943	384	
Larkin, Dylan	8477946	293	
Fabbri, Robby	8477952	155	
Ehn, Christoffer	8478036	146	
Cholowski, Dennis	8479395	547	
Hronek, Filip	8479425	629	
Hirose, Taro	8481433	216	
Hamhuis, Dan	8469465	612	
Rinne, Pekka	8471469		62
Bonino, Nick	8474009	50	
Turris, Kyle	8474068	478	
Weber, Yannick	8474134	776	
Josi, Roman	8474600	642	
Duchene, Matt	8475168	134	
Ellis, Ryan	8475176	580	
Ekholm, Mattias	8475218	578	
Smith, Craig	8475225	68	
Irwin, Matt	8475625	631	
Jarnkrok, Calle	8475714	236	
Watson, Austin	8475766	493	
Johansen, Ryan	8475793	242	
Granlund, Mikael	8475798	341	
Grimaldi, Rocco	8476428	194	
Salomaki, Miikka	8476447	423	
Forsberg, Filip	8476887	166	
Sissons, Colton	8476925	441	
Saros, Juuse	8477424		64
Arvidsson, Viktor	8478042	15	
Fabbro, Dante	8479371		
Steen, Alexander	8470257	454	
Tarasenko, Vladimir	8475765	467	
Bouwmeester, Jay	8470151	525	
Perron, David	8474102	386	
Gunnarsson, Carl	8474125	606	
Bortuzzo, Robert	8474145	524	
Pietrangelo, Alex	8474565	715	
Allen, Jake	8474596		1
Bozak, Tyler	8475098	55	
O’Reilly, Ryan	8475158	372	
Schenn, Brayden	8475170	23	
Faulk, Justin	8475753	585	
Schwartz, Jaden	8475768	428	
Binnington, Jordan	8476412		5
Parayko, Colton	8476892	708	
Sundqvist, Oskar	8476897	458	
MacEachern, Mackenzie	8476907	318	
de la Rose, Jacob	8477455	116	
Sanford, Zach	8477482	424	
Barbashev, Ivan	8477964	31	
Blais, Samuel	8478104	45	
Dunn, Vince	8478407	572	
Kostin, Klim	8480011		
Thomas, Robert	8480023	472	
Czarnik, Austin	8478512	106	
Kylington, Oliver	8478430	657	
Valimaki, Juuso	8479976	765	
Giordano, Mark	8470966	593	
Lucic, Milan	8473473	307	
Frolik, Michael	8473564	171	
Backlund, Mikael	8474150	27	
Hamonic, Travis	8474612	614	
Stone, Michael	8474628	689	
Brodie, T.J.	8474673	529	
Talbot, Cam	8475660		70
Gaudreau, Johnny	8476346	229	
Rieder, Tobias	8476356	412	
Jankowski, Mark	8476873	234	
Lindholm, Elias	8477496	139	
Monahan, Sean	8477497	343	
Bennett, Sam	8477935	38	
Mangiapane, Andrew	8478233	324	
Hanifin, Noah	8478396	615	
Andersson, Rasmus	8478397	726	
Ryan, Derek	8478585	110	
Tkachuk, Matthew	8479314	315	
Rittich, David	8479496		63
Wilson, Colin	8474569	70	
Grubauer, Philipp	8475831		26
Landeskog, Gabriel	8476455	291	
Zadorov, Nikita	8477507	779	
Rantanen, Mikko	8478420	405	
Bibeau, Antoine	8477312		
Johnson, Erik	8473446	573	
Cole, Ian	8474013	552	
Calvert, Matt	8474685	73	
Barberio, Mark	8474717	515	
Kadri, Nazem	8475172	252	
Connauton, Kevin	8475246	553	
Donskoi, Joonas	8475820	125	
Tynan, T.J.	8476391		
Nieto, Matt	8476442	355	
Megna, Jayson	8477126		
Graves, Ryan	8477435	599	
Burakovsky, Andre	8477444	63	
Compher, J.T.	8477456	92	
MacKinnon, Nathan	8477492	319	
Nichushkin, Valeri	8477501	352	
Bellemare, P.E.	8477930	37	
Kamenev, Vladislav	8477973	254	
Jost, Tyson	8479370	248	
Girard, Samuel	8479398	594	
Werner, Adam	8479530		
Makar, Cale	8480069		
Francouz, Pavel	8480925		
Manning, Brandon	8475430	673	
Larsson, Adam	8476457	510	
Smith, Mike	8469608		45
Neal, James	8471707	351	
Russell, Kris	8471729	734	
Gagner, Sam	8474040	175	
Koskinen, Mikko	8475156		37
Chiasson, Alex	8475163	82	
Kassian, Zack	8475178	258	
Sheahan, Riley	8475772	433	
Archibald, Josh	8476326	228	
Granlund, Markus	8476440	316	
Nugent-Hopkins, Ryan	8476454	370	
Klefbom, Oscar	8476472	649	
Khaira, Jujhar	8476915	263	
Benning, Matt	8476988	519	
Nurse, Darnell	8477498	699	
Draisaitl, Leon	8477934	128	
McDavid, Connor	8478402	337	
Bear, Ethan	8478451		
Russel, Patrick	8479466		
Persson, Joel	8480940		
Nygard, Joakim	8481638		
Haas, Gaetan	8481813		
Sutter, Brandon	8474091	460	
Ferland, Micheal	8475907	159	
Motte, Tyler	8477353	344	
Roussel, Antoine	8474849	418	
McIntyre, Zane	8475876		
Sautner, Ashton	8477085	740	
Chatfield, Jalen	8478970		
Eriksson, Loui	8470626	151	
Edler, Alexander	8471303	575	
Beagle, Jay	8474291	35	
Myers, Tyler	8474574	761	
Markstrom, Jacob	8474593		47
Benn, Jordie	8474818	640	
Tanev, Christopher	8475690	538	
Graovac, Tyler	8476344		
Leivo, Josh	8476410	299	
Miller, J.T.	8476468	250	
Pearson, Tanner	8476871	382	
Schaller, Tim	8477213	426	
Horvat, Bo	8477500	221	
Virtanen, Jake	8477937	486	
Demko, Thatcher	8477967		18
Boeser, Brock	8478444	49	
Gaudette, Adam	8478874	180	
Stecher, Troy	8479442	758	
MacEwen, Zack	8479772		
Pettersson, Elias	8480012	140	
Fantenberg, Oscar	8480147	584	
Hughes, Quinn	8480800		
Manson, Josh	8476312	674	
Lindholm, Hampus	8476854	609	
Miller, Ryan	8468011		59
Getzlaf, Ryan	8470612	182	
Holzer, Korbinian	8473560	627	
Del Zotto, Michael	8474584	562	
Henrique, Adam	8474641	212	
Grant, Derek	8474683	191	
Silfverberg, Jakob	8475164	438	
Deslauriers, Nicolas	8475235	120	
Fowler, Cam	8475764	590	
Gudbranson, Erik	8475790	605	
Gibson, John	8476434		24
Rakell, Rickard	8476483	404	
Shore, Devin	8476913	436	
Rowney, Carter	8477240	419	
Ritchie, Nick	8477941	346	
Kase, Ondrej	8478131	257	
Guhle, Brendan	8478425		
Larsson, Jacob	8478491	637	
Terry, Troy	8478873	471	
Steel, Sam	8479351	453	
Jones, Max	8479368	311	
Mahura, Josh	8479372	672	
Polak, Roman	8471392	719	
Hanzal, Martin	8471691	202	
Johns, Stephen	8475730	798	
Gardner, Rhett	8479587		
Perry, Corey	8470621	387	
Pavelski, Joe	8470794	381	
Radulov, Alexander	8471228	402	
Comeau, Blake	8471260	91	
Sekera, Andrej	8471284	749	
Khudobin, Anton	8471418		34
Cogliano, Andrew	8471699	89	
Bishop, Ben	8471750		3
Benn, Jamie	8473994	233	
Dowling, Justin	8475413	127	
Seguin, Tyler	8475794	430	
Klingberg, John	8475906	650	
Fedun, Taylor	8476166	586	
Oleksiak, Jamie	8476467	702	
Faksa, Radek	8476889	156	
Lindell, Esa	8476902	664	
Janmark, Mattias	8477406	235	
Dickinson, Jason	8477450	122	
Hanley, Joel	8477810	616	
Hintz, Roope	8478449	215	
Gurianov, Denis	8478495	197	
Caamano, Nick	8479381		
Heiskanen, Miro	8480036	621	
Lewis, Trevor	8473453	302	
Kovalchuk, Ilya	8469454	271	
Carter, Jeff	8470604	77	
Brown, Dustin	8470606	108	
Kopitar, Anze	8471685	269	
Quick, Jonathan	8471734		58
Martinez, Alec	8474166	676	
Doughty, Drew	8474563	569	
Clifford, Kyle	8475160	87	
Toffoli, Tyler	8475726	475	
Campbell, Jack	8475789		12
Prokhorkin, Nikolai	8476947		
Hutton, Ben	8477018	513	
Ryan, Joakim	8477046	635	
MacDermid, Kurtis	8477073	670	
Kempe, Adrian	8477960	1	
Amadio, Michael	8478020	10	
Wagner, Austin	8478455	3	
Roy, Matt	8478911	732	
Grundstrom, Carl	8479336	195	
Luff, Matt	8479644	308	
Iafallo, Alex	8480113	227	
Walker, Sean	8480336	769	
Lizotte, Blake	8481481		
Thornton, Joe	8466138	473	
Marleau, Patrick	8466139	328	
Burns, Brent	8470613	531	
Vlasic, Marc-Edouard	8471709	768	
Couture, Logan	8474053	99	
Karlsson, Erik	8474578	574	
Prout, Dalton	8474774	722	
Jones, Martin	8474889		43
Kane, Evander	8475169	138	
Dillon, Brenden	8475455	566	
Sorensen, Marcus	8475834	446	
Heed, Tim	8475841	620	
Goodrow, Barclay	8476624	188	
Hertl, Tomas	8476881	213	
Dell, Aaron	8477180		17
Karlsson, Melker	8477922	312	
Labanc, Kevin	8478099	287	
Meier, Timo	8478414	340	
Gregor, Noah	8479393		
Gambrell, Dylan	8479580		
Ferraro, Mario	8479983		
Simek, Radim	8480160	754	
Radil, Lukas	8480780	401	
Dubinsky, Brandon	8471273	132	
Nutivaara, Markus	8478906	700	
Foligno, Nick	8473422	345	
Nash, Riley	8474062	350	
Nyquist, Gustav	8474679	371	
Atkinson, Cam	8474715	18	
Savard, David	8475233	741	
Jenner, Boone	8476432	238	
Harrington, Scott	8476449	618	
Murray, Ryan	8476850	727	
Korpisalo, Joonas	8476914		36
Anderson, Josh	8476981	246	
Bjorkstrand, Oliver	8477416	43	
Jones, Seth	8477495	736	
Wennberg, Alexander	8477505	496	
Milano, Sonny	8477947	789	
Merzlikins, Elvis	8478007		
Werenski, Zach	8478460	772	
Kukan, Dean	8478567	654	
Gavrikov, Vladislav	8478882		
Sherwood, Kole	8478949		
Dubois, Pierre-Luc	8479400	133	
Texier, Alexandre	8480074		
Bemstrom, Emil	8480205		
Robinson, Eric	8480762	414	
Pateryn, Greg	8474688	709	
Mayhew, Gerald	8479933		
Koivu, Mikko	8469459	266	
Staal, Eric	8470595	141	
Suter, Ryan	8470600	760	
Parise, Zach	8470610	377	
Dubnyk, Devan	8471227		21
Stalock, Alex	8471774		67
Spurgeon, Jared	8474716	757	
Foligno, Marcus	8475220	310	
Zuccarello, Mats	8475692	507	
Zucker, Jason	8475722	508	
Seeler, Nick	8476372	748	
Rask, Victor	8476437	479	
Brodin, Jonas	8476463	530	
Hunt, Brad	8476779	512	
Dumba, Matt	8476856	570	
Soucy, Carson	8477369		
Hartman, Ryan	8477451	203	
Fiala, Kevin	8477942	160	
Donato, Ryan	8477987	124	
Greenway, Jordan	8478413	192	
Eriksson Ek, Joel	8478493	152	
Kunin, Luke	8479316	279	
Little, Bryan	8473412	305	
Latestu, Mark	8473914		
Bourque, Gabriel	8475268	52	
Appleton, Mason	8478891	13	
Byfuglien, Dustin	8470834	534	
Wheeler, Blake	8471218	497	
Perreault, Mathieu	8473618	385	
Sbisa, Luca	8474579	742	
Kulikov, Dmitry	8475179	656	
Bitetto, Anthony	8475868	521	
Brossoit, Laurent	8476316		8
Lowry, Adam	8476392	306	
Shaw, Logan	8476400		
Scheifele, Mark	8476460	427	
Beaulieu, Nathan	8476470	518	
Hellebuyck, Connor	8476945		29
Poolman, Tucker	8477359		
Copp, Andrew	8477429	97	
Dahlstrom, Carl	8477472	556	
Morrissey, Josh	8477504	691	
Ehlers, Nikolaj	8477940	145	
Connor, Kyle	8478398	96	
Roslovic, Jack	8478458	417	
Laine, Patrick	8479339	289	
Pionk, Neal	8480145	717	
Gustafsson, David	8481019		
Luoto, Joona	8481649		
Hjalmarsson, Niklas	8471769	624	
Capobianco, Kyle	8478476		
Richardson, Brad	8470755	411	
Soderberg, Carl	8471262	445	
Goligoski, Alex	8471274	596	
Grabner, Michael	8473546	190	
Kessel, Phil	8473548	262	
Demers, Jason	8474218	564	
Ness, Aaron	8474604		
Stepan, Derek	8474613	455	
Ekman-Larsson, Oliver	8475171	579	
Kuemper, Darcy	8475311		38
Hinostroza, Vinnie	8476994	214	
Raanta, Antti	8477293		60
Comrie, Eric	8477480		
Oesterle, Jordan	8477851	701	
Schmaltz, Nick	8477951	347	
Dvorak, Christian	8477989	136	
Fischer, Christian	8478432	162	
Crouse, Lawson	8478474	103	
Garland, Conor	8478856	179	
Keller, Clayton	8479343	259	
Chychrun, Jakob	8479345	548	
Hayton, Barrett	8480849		
Lyubushkin, Ilya	8480950	666	
Engelland, Deryk	8468674	581	
Fleury, Marc-Andre	8470594		42
Stastny, Paul	8471669	452	
Reaves, Ryan	8471817	409	
Pacioretty, Max	8474157	367	
Holden, Nick	8474207	625	
McNabb, Brayden	8475188	683	
Smith, Reilly	8475191	399	
Pirri, Brandon	8475204	390	
Eakin, Cody	8475236	142	
Merrill, Jon	8475750	686	
Stone, Mark	8475913	317	
Karlsson, William	8476448	490	
Marchessault, Jonathan	8476539	327	
Subban, Malcolm	8476876		46
Schmidt, Nate	8477220	745	
Theodore, Shea	8477447	762	
Carrier, William	8477478	76	
Nosek, Tomas	8477931	360	
Tuch, Alex	8477949	477	
Glass, Cody	8479996		
Comtois, Max	8480031	93	
