Marchand, Brad	6.125	6.125	6.125	6.125	6.125
Marchessault, Jonathan	5.000	5.000	5.000	5.000	5.000
Marleau, Patrick	6.250	0.700	UFA		
Marner, Mitchell	1.744	10.893	10.893	10.893	10.893
Maroon, Patrick	1.750	0.900	UFA		
Martel, Danick	0.715	0.700	RFA		
Martin, Matt	2.500	2.500	UFA		
Martinook, Jordan	1.800	2.000	2.000	UFA	
Martinsen, Andreas	0.650	0.700	UFA		
Matteau, Stefan	0.650	UFA			
Matthews, Auston	3.775	11.634	11.634	11.634	11.634
McCann, Jared	1.250	1.250	RFA		
McCarron, Michael	0.874	0.700	RFA		
McCormick, Max	0.650	0.700	UFA		
McDavid, Connor	12.500	12.500	12.500	12.500	12.500
McGinn, Brock	0.888	2.100	2.100	UFA	
McGinn, Jamie	3.333	UFA			
McKegg, Greg	0.715	0.750	UFA		
McKenzie, Curtis	0.750	0.750	UFA		
McLeod, Cody	0.750	UFA			
Megan, Wade	0.650	RETIRED			
Megna, Jayson	0.650	0.700	UFA		
Meier, Timo	1.644	6.000	6.000	6.000	6.000
Mersch, Michael	0.675	0.675	UFA		
Miele, Andy	KHL	0.725	0.725	UFA	
Mikheyev, Ilya	KHL	0.925	RFA		
Milano, Sonny	1.263	0.874	RFA		
Miller, J.T.	5.250	5.250	5.250	5.250	5.250
Mitchell, Zack	0.650	UFA			
Mittelstadt, Casey	1.492	1.492	RFA		
Monahan, Sean	6.375	6.375	6.375	6.375	6.375
Moore, Trevor	1.775	0.775	0.775	RFA	
Motte, Tyler	0.925	0.975	RFA		
Moulson, Matt	5.000	UFA			
Mueller, Chris	0.650	0.700	UFA		
Namestnikov, Vladislav	4.000	4.000	UFA		
Nash, Riley	2.750	2.750	2.750	UFA	
Neal, James	5.750	5.750	5.750	5.750	5.750
Necas, Martin	1.432	1.401	1.401	1.401	RFA
Nelson, Brock	4.250	6.000	6.000	6.000	6.000
Nichushkin, Valeri	2.950	0.850	RFA		
Niederreiter, Nino	5.250	5.250	5.250	5.250	UFA
Nielsen, Frans	5.250	5.250	5.250	5.250	UFA
Nieto, Matt	1.975	1.975	UFA		
Nieves, Cristoval	0.709	0.700	RFA		
Nilsson, Jacob	1.138	0.700	RFA		
Noesen, Stefan	1.725	0.700	UFA		
Nolan, Jordan	0.650	0.700	UFA		
Nordstrom, Joakim	1.000	1.000	UFA		
Nosek, Tomas	0.963	1.000	UFA		
Nugent-Hopkins, Ryan	6.000	6.000	6.000	UFA	
Nygard, Joakim	SWEDEN	0.925	UFA		
Nyquist, Gustav	4.750	5.500	5.500	5.500	5.500
Nylander, Alex	1.713	1.713	1.713	RFA	
Nylander, William	10.278	6.962	6.962	6.962	6.962
O'Brien, Jim	0.650	GERMANY			
O'Brien, Liam	0.650	0.700	RFA		
O'Regan, Danny	0.874	UFA			
O'Reilly, Cal	0.700	UFA			
O'Reilly, Ryan	7.500	7.500	7.500	7.500	7.500
Okposo, Kyle	6.000	6.000	6.000	6.000	6.000
Olofsson, Victor	0.925	0.925	RFA		
Oshie, T.J.	5.750	5.750	5.750	5.750	5.750
Ovechkin, Alex	9.538	9.538	9.538	UFA	
Paajarvi, Magnus	0.900	KHL			
Pacioretty, Max	4.500	7.000	7.000	7.000	7.000
Pageau, Jean-Gabriel	3.100	3.100	UFA		
Palat, Ondrej	5.300	5.300	5.300	5.300	UFA
Palmieri, Kyle	4.650	4.650	4.650	UFA	
Panarin, Artemi	6.000	11.643	11.643	11.643	11.643
Panik, Richard	2.800	2.750	2.750	2.750	2.750
Paquette, Cedric	1.000	1.650	1.650	UFA	
Parise, Zach	7.538	7.538	7.538	7.538	7.538
Pastrnak, David	6.667	6.667	6.667	6.667	6.667
Patrick, Nolan	3.575	3.575	RFA		
Paul, Nicholas	0.650	0.750	RFA		
Pavelski, Joe	6.000	7.000	7.000	7.000	UFA
Pearson, Tanner	3.750	3.750	3.750	UFA	
Peca, Matthew	1.300	1.300	UFA		
Peluso, Anthony	0.650	UFA			
Perlini, Brendan	1.363	0.874	RFA		
Perreault, Mathieu	4.125	4.125	4.125	UFA	
Perron, David	4.000	4.000	4.000	4.000	UFA
Perron, Francis	0.783	0.715	RFA		
Perry, Corey	8.625	3.250	UFA		
Petan, Nicolas	0.874	0.775	0.775	RFA	
Pettersson, Elias	3.775	3.775	3.775	RFA	
Phillips, Matthew	0.750	0.750	0.750	RFA	
Pietila, Blake	0.668	0.700	UFA		
Pirri, Brandon	0.650	0.775	0.775	UFA	
Pitlick, Tyler	1.000	1.000	UFA		
Plekanec, Tomas	2.250	CZECH			
Poehling, Ryan	1.492	1.492	1.492	RFA	
Point, Brayden	0.919	6.750	6.750	6.750	RFA
Pominville, Jason	5.600	UFA			
Porter, Kevin	0.650	UFA			
Prokhorkin, Nikolai	KHL	1.775	RFA		
Puljujarvi, Jesse	3.425	FINLAND			
Puempel, Matt	0.675	0.675	UFA		
Pyatt, Tom	1.100	UFA			
Quenneville, John	0.894	0.750	0.750	RFA	
Quine, Alan	0.700	0.735	UFA		
Radil, Lukas	0.750	0.700	UFA		
Radulov, Alexander	6.250	6.250	6.250	6.250	UFA
Raffl, Michael	2.350	1.600	1.600	UFA	
Rakell, Rickard	3.789	3.789	3.789	3.789	UFA
Rantanen, Mikko	1.628	9.250	9.250	9.250	9.250
Rask, Victor	4.000	4.000	4.000	4.000	UFA
Rasmussen, Michael	1.711	1.711	1.711	RFA	
Rattie, Ty	0.800	KHL			
Rau, Kyle	0.700	0.700	UFA		
Read, Matt	0.650	UFA			
Reaves, Ryan	2.775	2.775	UFA		
Reinhart, Sam	3.650	3.650	RFA		
Rempal, Sheldon	1.350	0.874	RFA		
Richardson, Brad	1.250	1.250	UFA		
Rieder, Tobias	2.000	0.700	UFA		
Rinaldo, Zac	0.650	0.700	UFA		
Ritchie, Brett	1.750	1.000	RFA		
Ritchie, Nick	1.640	1.499	1.499	RFA	
Robinson, Buddy	0.700	0.700	UFA		
Robinson, Eric	0.925	0.874	RFA		
Rodewald, Jack	0.708	0.725	RFA		
Rodin, Anton	0.750	UFA			
Rodrigues, Evan	0.650	2.000	RFA		
Rooney, Kevin	0.700	0.700	UFA		
Roslovic, Jack	1.107	1.107	RFA		
Roussel, Antoine	3.000	3.000	3.000	3.000	UFA
Rowney, Carter	1.133	1.133	1.133	UFA	
Roy, Kevin	0.874	0.850	UFA		
Russell, Patrick	0.700	0.700	UFA		
Rust, Bryan	3.500	3.500	3.500	3.500	UFA
Ryan, Bobby	7.250	7.250	7.250	7.250	UFA
Ryan, Derek	3.125	3.125	3.125	UFA	
Rychel, Kerby	0.725	UFA			
Saad, Brandon	6.000	6.000	6.000	UFA	
Sabourin, Scott	MINORS	0.700	UFA		
Salomaki, Miikka	0.750	0.750	UFA		
Sanford, Zach	0.925	1.500	1.500	RFA	
Sceviour, Colton	1.200	1.200	1.200	UFA	
Schaller, Tim	1.900	1.900	UFA		
Scheifele, Mark	6.125	6.125	6.125	6.125	6.125
Schenn, Brayden	5.125	5.125	6.500	6.500	6.500
Scherbak, Nikita	1.063	KHL			
Schmaltz, Nick	1.542	5.850	5.850	5.850	5.850
Schneider, Cole	0.650	UFA			
Schroeder, Jordan	0.650	KHL			
Schwartz, Jaden	5.350	5.350	5.350	UFA	
Sedlak, Lukas	0.825	KHL			
Seguin, Tyler	5.750	9.850	9.850	9.850	9.850
Seney, Brett	0.825	0.825	RFA		
Sgarbossa, Michael	0.650	0.700	0.700	UFA	
Shaw, Andrew	3.900	3.900	3.900	3.900	UFA
Shaw, Logan	0.675	0.700	UFA		
Sheahan, Riley	2.100	0.900	UFA		
Sheary, Conor	3.000	3.000	UFA		
Sherwood, Kiefer	0.925	0.925	RFA		
Sherwood, Kole	0.778	0.778	RFA		
Shinkaruk, Hunter	0.650	UFA			
Shore, Devin	2.300	2.300	RFA		
Shore, Nick	KHL	0.750	UFA		
Sikura, Dylan	1.388	0.750	0.750	RFA	
Silfverberg, Jakob	3.750	5.250	5.250	5.250	5.250
Simmonds, Wayne	3.975	5.000	UFA		
Simon, Dominik	0.750	0.750	RFA		
Sislo, Mike	0.650	UFA			
Sissons, Colton	0.625	2.857	2.857	2.857	2.857
Skinner, Jeff	5.725	9.000	9.000	9.000	9.000
Smith, C.J.	0.874	0.700	0.700	RFA	
