Saros, Juuse	OAK	31	1696	2.62	17	10	2	5	3	74	796	870	0.915	0	0	0	0	4	4	2
Schneider, Cory	 	26	1372	3.06	6	13	4	6	1	70	648	718	0.903	0	0	0	0	4	3	2
Sparks, Garret	 	20	1105	3.15	8	9	1	4	1	58	534	592	0.902	0	0	0	0	2	3	3
Stalock, Alex	 	21	1065	2.99	6	8	3	5	0	53	472	525	0.899	0	2	2	4	4	4	4
Stolarz, Anthony	 	18	869	3.45	4	5	3	1	1	50	453	503	0.901	0	0	0	0	3	2	2
Rask, Tuukka	SFC	46	2635	2.48	27	13	5	6	4	109	1136	1245	0.912	0	2	2	4	4	3	3
Talbot, Cam	 	35	1906	3.40	11	17	3	9	1	108	889	997	0.892	0	1	1	0	3	4	3
Ullmark, Linus	ATL	37	2102	3.11	15	14	5	4	2	109	1037	1146	0.905	0	1	1	0	4	3	3
Varlamov, Semyon	SEA	49	2839	2.87	20	19	9	12	2	136	1360	1496	0.909	0	0	0	2	4	3	2
Vasilevskiy, Andrei	KEL	53	3204	2.40	39	10	4	6	6	128	1585	1713	0.925	0	3	3	6	4	4	2
Ward, Cam	 	33	1882	3.67	16	12	4	7	0	115	998	1113	0.897	0	1	1	4	2	2	2
