1	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040
888	9.500	9.500	9.500	9.500	9.500	9.500	9.500	9.500	UFA												
889	1.850	4.500	4.500	UFA																	
891	0.763	RFA																			
892	0.850	UFA																			
893	0.725	1.650	1.650	UFA																	
894	1.850	1.850	1.850	UFA																	
896	4.333	UFA																			
897	1.425	RFA																			
898	RETIRED																				
899	1.275	1.275	UFA																		
900	7.800	7.800	7.800	7.800	7.800	7.800	UFA														
901	0.863	RFA																			
902	0.880	0.880	RFA																		
903	0.723	RFA																			
905	1.000	RFA																			
907	UFA																				
908	5.500	5.500	5.500	5.500	UFA																
909	0.825	UFA																			
910	0.925	RFA																			
1868	0.700	UFA																			
912	6.750	6.750	RFA																		
914	0.780	0.780	RFA																		
916	FINLAND																				
918	5.571	5.571	UFA																		
925	0.700	UFA																			
927	6.100	6.100	6.100	6.100	UFA																
931	4.167	4.167	UFA																		
932	0.894	RFA																			
930	1.550	UFA																			
1869	0.700	0.700	UFA																		
935	2.300	2.300	UFA																		
936	0.872	0.850	0.850	RFA																	
937	0.700	RFA																			
943	5.500	5.500	5.500	UFA																	
945	7.000	7.000	7.000	7.000	7.000	7.000	7.000	UFA													
949	2.400	2.400	RFA																		
950	5.000	UFA																			
951	KHL																				
1870	0.700	RFA																			
954	RETIRED																				
956	0.700	UFA																			
957	1.500	UFA																			
959	0.925	RFA																			
1871	0.700	RFA																			
963	7.250	7.250	7.250	UFA																	
964	0.700	UFA																			
966	0.700	RFA																			
968	2.000	UFA																			
1872	0.675	UFA																			
973	SWISS																				
974	1.138	RFA																			
975	5.800	5.800	5.800	5.800	5.800	5.800	UFA														
1873	0.750	0.750	UFA																		
981	0.743	0.743	RFA																		
978	4.850	4.850	4.850	4.850	4.850	UFA															
980	5.206	5.206	5.206	UFA																	
979	0.850	0.850	UFA																		
1874	0.700	RFA																			
985	5.292	5.292	5.292	5.292	5.292	UFA															
986	1.492	1.492	RFA																		
1875	0.700	RFA																			
989	RETIRED																				
1876	0.675	UFA																			
990	2.917	2.917	UFA																		
991	6.000	6.000	6.000	6.000	UFA																
992	0.677	RFA																			
994	0.925	0.925	RFA																		
996	8.500	8.500	UFA																		
997	5.333	5.333	5.333	UFA																	
999	0.758	0.758	0.758	RFA																	
1877	0.750	UFA																			
1002	0.874	RFA																			
1003	4.083	4.083	4.083	UFA																	
1004	4.650	UFA																			
1005	0.675	RFA																			
1006	UFA																				
1008	0.750	RFA																			
1009	0.996	RFA																			
1011	RETIRED																				
1012	6.300	6.300	6.300	6.300	UFA																
1014	KHL																				
1015	0.911	0.911	RFA																		
1017	2.854	2.854	RFA																		
1018	0.750	RFA																			
1021	9.500	9.500	9.500	UFA																	
1023	0.700	UFA																			
1878	KHL																				
1025	0.715	RFA																			
1026	2.250	UFA																			
1027	4.100	4.100	4.100	UFA																	
1028	3.300	RFA																			
1029	6.125	6.125	6.125	6.125	6.125	6.125	UFA														
1032	5.000	5.000	5.000	5.000	5.000	UFA															
1033	0.700	0.700	UFA																		
1034	1.775	1.775	RFA																		
1037	3.667	UFA																			
1038	0.700	UFA																			
1039	10.893	10.893	10.893	10.893	10.893	10.893	UFA														
1040	0.900	UFA																			
1879	0.700	RFA																			
1043	2.500	UFA																			
1880	0.700	RFA																			
1045	4.000	4.000	UFA																		
1046	2.000	2.000	UFA																		
1047	0.700	UFA																			
1050	4.875	4.875	4.875	4.875	4.875	4.875	4.875	UFA													
1881	0.725	0.725	UFA																		
1051	11.634	11.634	11.634	11.634	11.634	UFA															
1055	1.450	1.450	1.450	1.450	UFA																
1882	UFA																				
1058	4.900	4.900	4.900	RFA																	
1061	2.850	2.850	UFA																		
1062	1.250	RFA																			
1063	0.700	RFA																			
1883	UFA																				
1069	0.700	UFA																			
1070	0.700	RFA																			
1071	12.500	12.500	12.500	12.500	12.500	12.500	12.500	UFA													
1072	6.750	6.750	6.750	6.750	6.750	6.750	6.750	UFA													
1076	1.300	1.300	UFA																		
1077	2.100	2.100	UFA																		
1078	UFA																				
1079	0.700	0.700	UFA																		
1080	0.700	UFA																			
1082	0.750	UFA																			
1083	RETIRED																				
1884	0.750	UFA																			
1885	0.700	RFA																			
1087	UFA																				
1090	2.500	2.500	2.500	UFA																	
1091	UFA																				
1093	RETIRED																				
1094	0.700	UFA																			
1095	0.700	UFA																			
1096	6.000	6.000	6.000	6.000	RFA																
1886	0.700	UFA																			
1887	0.700	RFA																			
1098	1.375	UFA																			
1888	0.675	UFA																			
1101	0.870	RFA																			
1102	UFA																				
1889	0.725	0.725	UFA																		
1107	0.925	RFA																			
1890	0.925	0.788	0.788	RFA																	
1108	0.874	RFA																			
1112	3.875	3.875	3.875	UFA																	
1111	5.250	5.250	5.250	5.250	UFA																
1113	2.500	UFA																			
1114	2.325	UFA																			
1891	KHL																				
1892	UFA																				
1118	1.492	RFA																			
1124	6.375	6.375	6.375	6.375	UFA																
1126	0.709	RFA																			
1127	3.388	RFA																			
1128	UFA																				
1131	2.750	2.750	2.750	2.750	UFA																
1130	0.775	0.775	RFA																		
1134	0.700	0.700	RFA																		
1138	3.150	6.250	6.250	6.250	6.250	6.250	6.250	6.250	6.250	UFA											
1140	0.700	UFA																			
1143	0.975	RFA																			
1144	UFA																				
1145	3.125	3.125	UFA																		
1893	0.700	UFA																			
1147	1.400	RFA																			
1150	3.850	3.850	3.850	UFA																	
1148	UFA																				
1154	3.750	RFA																			
1153	4.600	4.600	UFA																		
1894	UFA																				
1155	4.000	5.625	5.625	5.625	5.625	UFA															
1156	0.679	RFA																			
1157	6.000	6.000	6.000	6.000	6.000	UFA															
1160	4.000	UFA																			
1162	2.750	2.750	UFA																		
1164	5.750	5.750	5.750	5.750	UFA																
1165	1.401	1.401	1.401	RFA																	
1895	0.738	0.738	RFA																		
1167	6.000	6.000	6.000	6.000	6.000	6.000	UFA														
1168	0.813	UFA																			
1169	3.000	3.000	UFA																		
1170	0.725	0.725	UFA																		
1173	UFA																				
1175	0.850	RFA																			
1178	5.250	5.250	5.250	UFA																	
1179	5.250	5.250	5.250	UFA																	
