Sean	Bergenheim		FALSE	FALSE	FALSE	TRUE
Marc-Andre	Bergeron		FALSE	FALSE	TRUE	FALSE
Patrice	Bergeron	8470638	TRUE	FALSE	FALSE	TRUE
Niclas	Bergfors		FALSE	FALSE	FALSE	TRUE
Patrik	Berglund		FALSE	FALSE	FALSE	TRUE
Steve	Bernier		FALSE	FALSE	FALSE	TRUE
Jonathan	Bernier	8473541	TRUE	TRUE	FALSE	FALSE
Reto	Berra		FALSE	TRUE	FALSE	FALSE
Todd	Bertuzzi		FALSE	FALSE	FALSE	TRUE
Tyler	Bertuzzi	8477479	TRUE	FALSE	FALSE	TRUE
Blair	Betts		FALSE	FALSE	FALSE	TRUE
Antoine	Bibeau	8477312	FALSE	TRUE	FALSE	FALSE
Bryan	Bickell		FALSE	FALSE	FALSE	TRUE
Alex	Biega	8473415	TRUE	FALSE	TRUE	FALSE
Kevin	Bieksa		FALSE	FALSE	TRUE	FALSE
Jordan	Binnington	8476412	TRUE	TRUE	FALSE	FALSE
Mathieu	Biron		FALSE	FALSE	TRUE	FALSE
Martin	Biron		FALSE	TRUE	FALSE	FALSE
Clark	Bishop		FALSE	FALSE	FALSE	TRUE
Ben	Bishop	8471750	TRUE	TRUE	FALSE	FALSE
Anthony	Bitetto	8475868	TRUE	FALSE	TRUE	FALSE
Anders	Bjork	8478075	TRUE	FALSE	FALSE	TRUE
Oliver	Bjorkstrand	8477416	TRUE	FALSE	FALSE	TRUE
Nick	Bjustad	8475760	TRUE	FALSE	FALSE	TRUE
Mackenzie	Blackwood	8478406	TRUE	TRUE	FALSE	FALSE
Samuel	Blais	8478104	TRUE	FALSE	FALSE	TRUE
Jason	Blake		FALSE	FALSE	FALSE	TRUE
Rob	Blake		FALSE	FALSE	TRUE	FALSE
Joseph	Blandisi	8477010	TRUE	FALSE	FALSE	TRUE
Teddy	Blueger	8476927	TRUE	FALSE	FALSE	TRUE
Jonathon	Blum		FALSE	FALSE	TRUE	FALSE
Sergei	Bobrovsky	8475683	TRUE	TRUE	FALSE	FALSE
Brandon	Bochenski		FALSE	FALSE	FALSE	TRUE
Mikkel	Boedker	8474571	TRUE	FALSE	FALSE	TRUE
Brock	Boeser	8478444	TRUE	FALSE	FALSE	TRUE
Zach	Bogosian	8474567	TRUE	FALSE	TRUE	FALSE
Jared	Boll		FALSE	FALSE	FALSE	TRUE
Dave	Bolland		FALSE	FALSE	FALSE	TRUE
Peter	Bondra		FALSE	FALSE	FALSE	TRUE
Nick	Bonino	8474009	TRUE	FALSE	FALSE	TRUE
Radek	Bonk		FALSE	FALSE	FALSE	TRUE
Derek	Boogard		FALSE	FALSE	FALSE	TRUE
David	Booth		FALSE	FALSE	FALSE	TRUE
Jesper	Boqvist	8480003	TRUE	FALSE	FALSE	TRUE
Henrik	Borgstrom		FALSE	FALSE	FALSE	TRUE
Mark	Borowiecki	8474697	TRUE	FALSE	TRUE	FALSE
Robert	Bortuzzo	8474145	TRUE	FALSE	TRUE	FALSE
Pierre-Marc	Bouchard		FALSE	FALSE	FALSE	TRUE
Reid	Boucher		FALSE	FALSE	FALSE	TRUE
Phillippe	Boucher		FALSE	FALSE	TRUE	FALSE
Brian	Boucher		FALSE	TRUE	FALSE	FALSE
Francis	Bouillon		FALSE	FALSE	TRUE	FALSE
Lance	Bouma		FALSE	FALSE	FALSE	TRUE
Marc-Andre	Bourdon		FALSE	FALSE	TRUE	FALSE
Michael	Bournival		FALSE	FALSE	FALSE	TRUE
Rene	Bourque		FALSE	FALSE	FALSE	TRUE
Gabriel	Bourque	8475268	TRUE	FALSE	FALSE	TRUE
Jay	Bouwmeester	8470151	TRUE	FALSE	TRUE	FALSE
Madison	Bowey	8477474	TRUE	FALSE	TRUE	FALSE
Drayson	Bowman		FALSE	FALSE	FALSE	TRUE
Zach	Boychuk		FALSE	FALSE	FALSE	TRUE
Johnny	Boychuk	8470187	TRUE	FALSE	TRUE	FALSE
Dustin	Boyd		FALSE	FALSE	FALSE	TRUE
Travis	Boyd	8476329	TRUE	FALSE	FALSE	TRUE
Brad	Boyes		FALSE	FALSE	FALSE	TRUE
Dan	Boyle		FALSE	FALSE	TRUE	FALSE
Brian	Boyle	8470619	TRUE	FALSE	FALSE	TRUE
Nick	Boynton		FALSE	FALSE	TRUE	FALSE
Tyler	Bozak	8475098	TRUE	FALSE	FALSE	TRUE
Matt	Bradley		FALSE	FALSE	FALSE	TRUE
Erik	Brannstrom	8480073	TRUE	FALSE	TRUE	FALSE
Donald	Brashear		FALSE	FALSE	FALSE	TRUE
Derick	Brassard	8473544	TRUE	FALSE	FALSE	TRUE
Jesper	Bratt	8479407	TRUE	FALSE	FALSE	TRUE
Justin	Braun	8474027	TRUE	FALSE	TRUE	FALSE
T.J.	Brennan		FALSE	FALSE	TRUE	FALSE
Tim	Brent		FALSE	FALSE	FALSE	TRUE
Eric	Brewer		FALSE	FALSE	TRUE	FALSE
Connor	Brickley		FALSE	FALSE	FALSE	TRUE
Daniel	Briere		FALSE	FALSE	FALSE	TRUE
Rod	Brind’Amour		FALSE	FALSE	FALSE	TRUE
Patrice	Brisebois		FALSE	FALSE	TRUE	FALSE
Martin	Brodeur		FALSE	TRUE	FALSE	FALSE
T.J.	Brodie	8474673	TRUE	FALSE	TRUE	FALSE
Jonas	Brodin	8476463	TRUE	FALSE	TRUE	FALSE
Kyle	Brodziak		FALSE	FALSE	FALSE	TRUE
Jonny	Brodzinski		FALSE	FALSE	FALSE	TRUE
Laurent	Broissoit	8476316	TRUE	TRUE	FALSE	FALSE
Troy	Brouwer	8471426	TRUE	FALSE	FALSE	TRUE
Curtis	Brown		FALSE	FALSE	FALSE	TRUE
Connor	Brown	8477015	TRUE	FALSE	FALSE	TRUE
Dustin	Brown	8470606	TRUE	FALSE	FALSE	TRUE
